Feature1,Feature2,Feature3,Feature4,CardType_Elite,CardType_Platinum,CardType_Smart Cash,CardType_True Line,CardType_True Line Gold,score,Month
0.9108791164658634,,,421.28,0,1.0,0.0,0,0,0.9731,1/31/2019
0.09428,,,0.0,0,0.0,1.0,0,0,0.1196,1/31/2019
0.5890599999999999,,,9.11,1,0.0,0.0,0,0,0.7489,1/31/2019
2.0235,,,17.37,1,0.0,0.0,0,0,0.9626,1/31/2019
-0.004955556,,,0.0,0,0.0,1.0,0,0,0.0039,1/31/2019
0.3930412371134021,,,0.0,0,0.0,0.0,0,1,0.0132,1/31/2019
0.0264580152671755,,,0.0,1,0.0,0.0,0,0,0.1251,1/31/2019
0.8988112500000001,,,418.02,0,1.0,0.0,0,0,0.9526,1/31/2019
0.0,,,0.0,1,0.0,0.0,0,0,0.2683,1/31/2019
0.12927,,,0.0,1,0.0,0.0,0,0,0.0866,1/31/2019
0.066301843,,,31.24,0,0.0,1.0,0,0,0.0273,1/31/2019
0.067104661,,,26.56,0,0.0,0.0,1,0,0.0107,1/31/2019
0.7497596638655462,,,152.65,0,1.0,0.0,0,0,0.4683,1/31/2019
0.2311062857142857,,,123.06,0,1.0,0.0,0,0,0.1937,1/31/2019
7.6e-05,,,0.0,0,1.0,0.0,0,0,0.2892,1/31/2019
0.0,,,0.0,0,1.0,0.0,0,0,0.1153,1/31/2019
0.9564850340136054,,,369.81,0,0.0,1.0,0,0,0.9005,1/31/2019
0.0,,,0.0,0,0.0,1.0,0,0,0.0116,1/31/2019
0.6672552631578947,,,70.71,0,0.0,1.0,0,0,0.5486,1/31/2019
0.042353659,,,7.04,1,0.0,0.0,0,0,0.0901,1/31/2019
-5.6e-06,,,0.0,0,0.0,0.0,0,1,0.0134,1/31/2019
-0.000290604,,,0.0,0,0.0,1.0,0,0,0.0035,1/31/2019
0.055193605,,,0.0,0,0.0,1.0,0,0,0.0223,1/31/2019
1.016757,,,132.19,0,0.0,1.0,0,0,0.8854,1/31/2019
0.1945241935483871,,,0.0,0,0.0,1.0,0,0,0.1792,1/31/2019
0.0,,,0.0,1,0.0,0.0,0,0,0.0328,1/31/2019
-0.016396899,,,0.0,1,0.0,0.0,0,0,0.01,1/31/2019
0.0,,,0.0,0,0.0,0.0,0,1,0.0086,1/31/2019
0.074065714,,,0.0,0,0.0,0.0,0,1,0.1629,1/31/2019
0.091799333,,,0.0,0,1.0,0.0,0,0,0.0324,1/31/2019
0.0254544999999999,,,0.0,0,0.0,0.0,0,1,0.0473,1/31/2019
0.042665,,,0.0,0,0.0,0.0,0,1,0.1031,1/31/2019
0.8011394117647059,,,253.76,0,1.0,0.0,0,0,0.7933,1/31/2019
0.0,,,0.0,1,0.0,0.0,0,0,0.0115,1/31/2019
0.0,,,0.0,0,1.0,0.0,0,0,0.1396,1/31/2019
0.96279,,,81.88,1,0.0,0.0,0,0,0.7973,1/31/2019
0.3121443037974684,,,48.95,0,0.0,0.0,0,1,0.3651,1/31/2019
0.9060876056338028,,,493.94,1,0.0,0.0,0,0,0.8859,1/31/2019
0.3302633333333333,,,0.0,0,1.0,0.0,0,0,0.261,1/31/2019
0.212,,,13.2,0,0.0,1.0,0,0,0.2341,1/31/2019
0.027013,,,0.0,0,1.0,0.0,0,0,0.174,1/31/2019
0.007454106,,,5.43,1,0.0,0.0,0,0,0.0065,1/31/2019
0.1180173333333333,,,0.0,0,0.0,1.0,0,0,0.0939,1/31/2019
0.0,,,0.0,0,1.0,0.0,0,0,0.125,1/31/2019
0.99585,,,1.65,0,1.0,0.0,0,0,0.2201,1/31/2019
1.1689836363636363,,,241.32,1,0.0,0.0,0,0,0.9394,1/31/2019
0.102405,,,12.94,0,0.0,0.0,1,0,0.0571,1/31/2019
0.01881,,,0.0,0,0.0,0.0,0,1,0.1475,1/31/2019
0.5321176470588236,,,3.62,0,0.0,0.0,0,1,0.1775,1/31/2019
7.692307692307692e-06,1.0,5199.96,0.04,0,1.0,0.0,0,0,0.2519,1/31/2019
0.176476,1.0,4117.62,0.0,0,1.0,0.0,0,0,0.2224,1/31/2019
0.9507128205128206,1.0,576.6599999999999,148.54,1,0.0,0.0,0,0,0.7729,1/31/2019
-0.001183696,0.0,27632.67,0.0,0,0.0,1.0,0,0,0.0015,2/28/2019
0.1539430769230769,1.0,21997.48,0.0,0,0.0,1.0,0,0,0.0306,2/28/2019
0.8125806060606059,1.0,3092.42,272.63,0,0.0,1.0,0,0,0.9039,2/28/2019
0.858721,1.0,1412.7900000000006,185.35,0,0.0,0.0,0,1,0.7651,2/28/2019
0.090749412,1.0,7728.63,0.0,0,0.0,1.0,0,0,0.2523,2/28/2019
0.0,,2500.0,0.0,0,1.0,0.0,0,0,0.1224,2/28/2019
0.45962,1.0,2701.9,14.62,0,1.0,0.0,0,0,0.436,2/28/2019
0.009918889,1.0,8910.73,0.0,0,1.0,0.0,0,0,0.161,2/28/2019
0.0,,1000.0,0.0,0,0.0,0.0,0,1,0.0908,2/28/2019
0.7600283018867925,1.0,1271.85,96.0,0,0.0,0.0,0,1,0.6401,2/28/2019
0.2348760000000001,1.0,3825.62,0.0,0,0.0,1.0,0,0,0.2995,2/28/2019
0.0,,9000.0,0.0,1,0.0,0.0,0,0,0.0523,2/28/2019
0.0,,10000.0,0.0,0,1.0,0.0,0,0,0.0514,2/28/2019
0.020852,1.0,4895.74,0.0,0,0.0,1.0,0,0,0.1024,2/28/2019
1.3282040000000002,1.0,-820.51,62.26,1,0.0,0.0,0,0,0.8735,2/28/2019
0.0,,15400.0,0.0,0,0.0,0.0,0,1,0.0505,2/28/2019
0.093479381,1.0,8793.25,0.0,0,0.0,1.0,0,0,0.3124,2/28/2019
0.0223,1.0,19554.0,0.0,0,1.0,0.0,0,0,0.0088,2/28/2019
0.519533,1.0,9609.34,198.71,0,0.0,1.0,0,0,0.7214,2/28/2019
0.3567388888888889,1.0,4631.48,8.76,1,0.0,0.0,0,0,0.3952,2/28/2019
0.6786479999999999,1.0,1606.7600000000002,71.34,0,0.0,1.0,0,0,0.7627,2/28/2019
0.0,,14000.0,0.0,0,0.0,0.0,1,0,0.0357,2/28/2019
0.0214357142857142,1.0,6849.95,0.0,1,0.0,0.0,0,0,0.0669,2/28/2019
0.8203025974025974,1.0,2767.34,193.42,0,1.0,0.0,0,0,0.7754,2/28/2019
0.6585506666666667,0.4508870995499207,5121.74,85.18,0,1.0,0.0,0,0,0.2285,2/28/2019
-0.069928889,0.0,9629.36,0.0,1,0.0,0.0,0,0,0.0018,2/28/2019
0.0,,3000.0,0.0,1,0.0,0.0,0,0,0.0996,2/28/2019
